stock_id,name,market,industry
1101,台泥,TWSE,水泥工業
1102,亞泥,TWSE,水泥工業
1103,嘉泥,TWSE,水泥工業
1104,環泥,TWSE,水泥工業
1108,幸福,TWSE,水泥工業
1109,信大,TWSE,水泥工業
1110,東泥,TWSE,水泥工業
1201,味全,TWSE,食品工業
1203,味王,TWSE,食品工業
1210,大成,TWSE,食品工業
1213,大飲,TWSE,食品工業
1215,卜蜂,TWSE,食品工業
1216,統一,TWSE,食品工業
1217,愛之味,TWSE,食品工業
1218,泰山,TWSE,食品工業
1219,福壽,TWSE,食品工業
1220,台榮,TWSE,食品工業
1225,福懋油,TWSE,食品工業
1227,佳格,TWSE,食品工業
1229,聯華,TWSE,食品工業
1231,聯華食,TWSE,食品工業
1232,大統益,TWSE,食品工業
1233,天仁,TWSE,食品工業
1234,黑松,TWSE,食品工業
1235,興泰,TWSE,食品工業
1236,宏亞,TWSE,食品工業
1256,鮮活果汁-KY,TWSE,食品工業
1301,台塑,TWSE,塑膠工業
1303,南亞,TWSE,塑膠工業
1304,台聚,TWSE,塑膠工業
1305,華夏,TWSE,塑膠工業
1307,三芳,TWSE,塑膠工業
1308,亞聚,TWSE,塑膠工業
1309,台達化,TWSE,塑膠工業
1310,台苯,TWSE,塑膠工業
1312,國喬,TWSE,塑膠工業
1313,聯成,TWSE,塑膠工業
1314,中石化,TWSE,塑膠工業
1315,達新,TWSE,塑膠工業
1316,上曜,TWSE,建材營造業
1319,東陽,TWSE,汽車工業
1321,大洋,TWSE,塑膠工業
1323,永裕,TWSE,塑膠工業
1324,地球,TWSE,塑膠工業
1325,恆大,TWSE,塑膠工業
1326,台化,TWSE,塑膠工業
1337,再生-KY,TWSE,塑膠工業
1338,廣華-KY,TWSE,汽車工業
1339,昭輝,TWSE,汽車工業
1340,勝悅-KY,TWSE,塑膠工業
1341,富林-KY,TWSE,塑膠工業
1342,八貫,TWSE,其他業
1402,遠東新,TWSE,紡織纖維
1409,新纖,TWSE,紡織纖維
1410,南染,TWSE,紡織纖維
1413,宏洲,TWSE,紡織纖維
1414,東和,TWSE,紡織纖維
1416,廣豐,TWSE,其他業
1417,嘉裕,TWSE,紡織纖維
1418,東華,TWSE,紡織纖維
1419,新紡,TWSE,紡織纖維
1423,利華,TWSE,紡織纖維
1432,大魯閣,TWSE,運動休閒
1434,福懋,TWSE,紡織纖維
1435,中福,TWSE,其他業
1436,華友聯,TWSE,建材營造業
1437,勤益控,TWSE,其他業
1438,三地開發,TWSE,建材營造業
1439,雋揚,TWSE,建材營造業
1440,南紡,TWSE,紡織纖維
1441,大東,TWSE,紡織纖維
1442,名軒,TWSE,建材營造業
1443,立益物流,TWSE,其他業
1444,力麗,TWSE,紡織纖維
1445,大宇,TWSE,紡織纖維
1446,宏和,TWSE,紡織纖維
1447,力鵬,TWSE,紡織纖維
1449,佳和,TWSE,紡織纖維
1451,年興,TWSE,紡織纖維
1452,宏益,TWSE,紡織纖維
1453,大將,TWSE,建材營造業
1454,台富,TWSE,紡織纖維
1455,集盛,TWSE,紡織纖維
1456,怡華,TWSE,建材營造業
1457,宜進,TWSE,紡織纖維
